YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,21,9,20.15,43.56,0,2.17,331.59
2011,2,21,10,22.56,36.31,0,1.99,305.43
2011,2,21,11,23.92,33.56,0,2.37,298.93
2011,2,21,12,24.78,31.88,0,2.75,302.7
2011,2,21,13,25.12,31,0,3.02,308.8
2011,2,21,14,25.01,30.81,0,3.08,313.25
2011,2,21,15,24.37,31.44,0,3.14,316.51
2011,2,21,16,22.52,39.94,0,3.34,319.08
2011,2,21,17,18.65,51.62,0,3.85,321.18
2011,2,21,18,17.3,53,0,4.13,323.54
2011,2,21,19,16.57,54.5,0,4.11,325.53
2011,2,21,20,15.8,56.25,0,4.11,328.12
2011,2,21,21,14.9,58.5,0,4.25,332.96
2011,2,21,22,13.99,62,0,4.41,336.3
2011,2,21,23,13.14,66,0,4.57,334.57
2011,2,22,0,12.31,70.19,0,4.94,329.58
2011,2,22,1,11.59,74.12,0,5.67,325.11
2011,2,22,2,10.95,77.81,0,6.09,324.5
2011,2,22,3,10.24,81.94,0,5.89,327.41
2011,2,22,4,9.55,85.88,0,5.39,332.77
2011,2,22,5,9.13,88.5,0,4.77,338.56
